status,send_status,priority,site,category,url,contact_name,email,contact_url,pitch_angle,recommended_asset,source_url,source_note,personalization_note,last_checked,next_step
Ready for review,Do not auto-send,High,Name Numerology Calculator,Chaldean numerology,https://namenumerologycalculator.in/,Team,support@namenumerologycalculator.in,https://namenumerologycalculator.in/contact,"Suggest citing the Chaldean letter-values chart where they explain name calculation; competitor-adjacent, so keep tone collaborative and non-salesy.",https://www.namealigned.com/resources/chaldean-letter-values,https://namenumerologycalculator.in/contact,"Public contact page lists support@namenumerologycalculator.in and says they respond within 24-48 hours.","They already cover Chaldean numerology and popular tools; pitch as a reference/chart rather than generic calculator.",2026-06-08,"Draft personalized email; send only after owner approval."
Ready for review,Do not auto-send,High,Name Echo,Name meanings and numerology,https://nameecho.com/,Eida Goodman / Deborah Vilner,office@nameecho.com,https://nameecho.com/about-us,"Their mission goes beyond name origin into numerology meanings; offer the Chaldean chart as a practical reader reference for name meaning pages.",https://www.namealigned.com/resources/chaldean-letter-values,https://nameecho.com/about-us,"Public About page lists office[at]nameecho[dot]com and says they write name/numerology articles.","Good fit for baby-name/name-meaning readers; avoid overclaiming, keep it helpful.",2026-06-08,"Draft personalized email; send only after owner approval."
Ready for review,Do not auto-send,Medium,Numerologist.com,Numerology education,https://numerologist.com/,Blair Andrews / Support,support@numerologist.com,https://numerologist.com/contact,"Suggest the widget/chart only if they ever maintain outside resources; likely low response because they have their own calculators.",https://www.namealigned.com/resources/chaldean-letter-values,https://numerologist.com/contact,"Public contact page lists support@numerologist.com and site covers numerology, astrology, tarot, and calculators.","Use a very soft resource-share, not a replacement pitch.",2026-06-08,"Optional; lower priority because they are a large direct competitor."
Ready for review,Do not auto-send,Medium,Naked Numerology,Numerology newsletter,https://nakednumerology.com/,Wendy Dellaney,team@nakednumerology.com,https://nakednumerology.com/contacts/,"Offer the chart/widget as a free reader tool for a newsletter or monthly numerology resources page.",https://www.namealigned.com/resources/chaldean-letter-values,https://nakednumerology.com/contacts/,"Search result shows public contact email team@nakednumerology.com; page fetch was unreliable.","Newsletter angle may be better than link-insert request.",2026-06-08,"Verify page manually before sending."
Ready for review,Do not auto-send,Medium,Felicia Bender,Professional numerology,https://feliciabender.com/,Felicia & Staff,support@feliciabender.com,https://staging.feliciabender.com/contact/,"Offer the Chaldean chart as a supplementary resource only; she is primarily a practitioner/educator.",https://www.namealigned.com/resources/chaldean-letter-values,https://staging.feliciabender.com/contact/,"Search result shows media/private party/contribution contact as support@feliciabender.com.","Needs careful respectful pitch; not a generic backlink ask.",2026-06-08,"Verify live contact page before sending."
Ready for review,Do not auto-send,Medium,Meditation Bro,Spirituality guest posts,https://www.meditationbro.com/,Editorial team,contact@meditationbro.com,https://www.meditationbro.com/write-for-us-astrology/,"Pitch an educational article idea on Chaldean name numbers with one natural citation to the chart.",https://www.namealigned.com/resources/chaldean-letter-values,https://www.meditationbro.com/write-for-us-astrology/,"Write-for-us page invites astrology submissions and lists contact@meditationbro.com.","May be lower editorial quality; review before using.",2026-06-08,"Send only if willing to contribute a real article."
Review first,Do not auto-send,Medium,Astrology Answers,Astrology/numerology authority,https://www.astrologyanswers.com/,Editorial team,writing@astrologyanswers.com,https://www.astrologyanswers.com/pages/write-for-us/,"Potential expert guest post about Chaldean name numbers, but page says they are not currently accepting articles.",https://www.namealigned.com/resources/chaldean-letter-values,https://www.astrologyanswers.com/pages/write-for-us/,"Write-for-us page lists writing@astrologyanswers.com, covers numerology, but says articles are not currently accepted.","Do not send now; revisit monthly.",2026-06-08,"Set revisit reminder; do not pitch until accepting."
Do not pursue,Do not send,Low,2Spirits,Sponsored link placements,https://www.2spirits.com/,Editorial / advertising team,,https://www.2spirits.com/write-for-us,"They openly sell dofollow link inserts; avoid for SEO safety unless nofollow/sponsored and brand exposure is the goal.",https://www.namealigned.com/resources/chaldean-letter-values,https://www.2spirits.com/write-for-us,"Page advertises sponsored articles and paid dofollow link inserts.","This is exactly the kind of paid link placement to avoid for organic SEO.",2026-06-08,"Do not contact for link-building."
Review first,Do not auto-send,Low,Astrology.com,Astrology media,https://www.astrology.com/,Partnerships team,,https://www.astrology.com/us/advertising-inquiry.aspx,"Only relevant for paid advertising/partnerships, not organic backlink outreach.",https://www.namealigned.com/name-numerology-calculator,https://www.astrology.com/us/advertising-inquiry.aspx,"Advertising page uses contact form and lists partnership options.","Not backlink outreach; paid partnership only.",2026-06-08,"Do not use unless paid media budget exists."
Review first,Do not auto-send,Low,Astrology Answers Advertising,Astrology media,https://www.astrologyanswers.com/,Advertising team,,https://www.astrologyanswers.com/advertise/,"Only relevant for paid media or newsletter sponsorship, not unpaid link placement.",https://www.namealigned.com/name-numerology-calculator,https://www.astrologyanswers.com/advertise/,"Advertising page says they offer dedicated email sends, display, and in-article ads.","Separate from SEO backlink work.",2026-06-08,"Do not use unless paid media budget exists."
Ready for review,Do not auto-send,Medium,World Numerology,Numerology tools and resources,https://www.worldnumerology.com/,Support team,,https://www.worldnumerology.com/contact-us/,"Potential resource-share only; they have their own ecosystem, so response odds are modest.",https://www.namealigned.com/resources/chaldean-letter-values,https://www.worldnumerology.com/contact-us/,"Contact page has a form but no plain public outreach email in the fetched contact page.","Could use form with transparent resource pitch.",2026-06-08,"Optional form submission after approval."
Ready for research,Do not auto-send,Medium,Jahben Psychic Advisor,Astrology/numerology blog,https://jahben.com/blog/,Jahben,,https://jahben.com/blog/,"Blog publishes astrology and numerology content; pitch the chart as a reader utility if a relevant name/numerology article exists.",https://www.namealigned.com/resources/chaldean-letter-values,https://jahben.com/blog/,"Search result shows active astrology and numerology blog updated weekly.","Need contact page/email before sending.",2026-06-08,"Find contact details and a specific article URL."
Ready for research,Do not auto-send,Medium,Auric Number,Indian numerology/astrology,https://auricnumber.com/,Team,,https://auricnumber.com/contact-us/,"Indian numerology audience; pitch the Chaldean chart only if there is a resource/article fit.",https://www.namealigned.com/resources/chaldean-letter-values,https://auricnumber.com/contact-us/,"Contact page describes numerology, astrology, marriage compatibility, name correction, and mobile numerology.","Need public email or use contact form.",2026-06-08,"Review contact page manually before sending."
