status,priority,site,category,url,contact_name,email,contact_url,pitch_angle,asset,notes,last_contacted,next_follow_up,response,placement_url
To research,High,"Find 25 baby name blogs","Baby names",https://,,,,,"Chaldean chart for lucky baby-name selection","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""lucky baby names numerology"", ""baby names numerology meaning"", ""Indian baby names lucky number""",,,,
To research,High,"Find 20 astrology blogs","Astrology/numerology",https://,,,,,"Reference chart for name numerology articles","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""Chaldean numerology name number"", ""name numerology calculator blog"", ""how to calculate name number""",,,,
To research,High,"Find 15 numerology guide pages","Numerology education",https://,,,,,"Missing Chaldean letter values chart","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""Chaldean letter values"", ""Chaldean numerology chart"", ""numerology letters numbers chart""",,,,
To research,High,"Find 15 Indian spiritual wellness blogs","Spiritual wellness",https://,,,,,"Name identity and emotional self-knowledge angle","https://www.namealigned.com/name-numerology-calculator","Search: ""name numerology India blog"", ""moolank name number"", ""lucky name numerology India""",,,,
To research,Medium,"Find 15 relationship compatibility blogs","Relationships",https://,,,,,"Name and relationship dynamics supporting resource","https://www.namealigned.com/love-compatibility-numerology","Search: ""numerology relationship compatibility blog"", ""name compatibility numerology"", ""birth number compatibility""",,,,
To research,Medium,"Find 20 branding/naming blogs","Brand naming",https://,,,,,"Business name-number checker for founders","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""business name numerology"", ""brand name numerology"", ""lucky business name calculator""",,,,
To research,Medium,"Find small business naming consultants","Brand naming",https://,,,,,"Free calculator as client education resource","https://www.namealigned.com/business-name-numerology","Search: ""business naming consultant numerology"", ""brand naming blog spiritual"", ""company name numerology""",,,,
To research,Medium,"Find resource pages listing calculators","Resource pages",https://,,,,,"Add free Chaldean calculator to tools list","https://www.namealigned.com/name-numerology-calculator","Search: ""numerology calculators resources"", ""free numerology tools"", ""metaphysical calculators list""",,,,
To research,Medium,"Find education pages on letter-number systems","Education",https://,,,,,"Chart explaining sound-based Chaldean values","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""letter values numerology"", ""letters to numbers numerology"", ""name number chart""",,,,
To research,Medium,"Find Sanskrit/name meaning blogs","Name meanings",https://,,,,,"Pair name meanings with name-number calculation","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""Sanskrit baby names numerology"", ""name meaning lucky number"", ""Indian name meanings numerology""",,,,
To research,Medium,"Find wedding/relationship spirituality blogs","Relationships",https://,,,,,"Compatibility tool as deeper exploration path","https://www.namealigned.com/love-compatibility-numerology","Search: ""wedding date numerology relationship"", ""couple numerology compatibility"", ""spiritual compatibility blog""",,,,
To research,Medium,"Find YouTube creators with blogs","Creator blogs",https://,,,,,"Reference link for video description or companion post","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""Chaldean numerology YouTube blog"", ""name numerology YouTuber website""",,,,
To research,Low,"Find Quora-style answer opportunities","Community answers",https://,,,,,"Answer only where genuinely helpful; no spam","https://www.namealigned.com/name-numerology-calculator","Search manually for active questions about calculating name number; disclose affiliation",,,,
To research,Low,"Find Reddit discussions where allowed","Community discussions",https://,,,,,"Share only in relevant threads if rules allow","https://www.namealigned.com/resources/chaldean-letter-values","Search manually; avoid self-promo communities and never mass post",,,,
To research,High,"Find broken/outdated Chaldean chart links","Broken link outreach",https://,,,,,"Replacement for outdated chart or dead calculator","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""Chaldean numerology chart"" plus check pages for broken outbound links",,,,
To research,Medium,"Find guest expert quote opportunities","Expert quotes",https://,,,,,"Offer a short quote on name numbers and identity","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""write for us numerology"", ""expert roundup astrology numerology"", but avoid low-quality guest-post farms",,,,
To research,Medium,"Find newsletters in astrology/spirituality","Newsletters",https://,,,,,"Free widget/resource for readers","https://www.namealigned.com/resources/chaldean-letter-values","Search newsletter directories and Substack for numerology/name topics",,,,
To research,Medium,"Find parenting newsletters","Parenting",https://,,,,,"Lucky-name chart as optional baby-name resource","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""baby names newsletter"", ""Indian parenting baby names blog""",,,,
To research,Low,"Find university/student esoteric clubs","Community resources",https://,,,,,"Educational chart only, no ranking language","https://www.namealigned.com/resources/chaldean-letter-values","Search: ""numerology club resources"", ""astrology society resources""",,,,
To research,Medium,"Find calculators that lack Chaldean method explanation","Calculator comparison",https://,,,,,"Suggest citation for Chaldean method","https://www.namealigned.com/resources/chaldean-letter-values","Search competitor calculator articles; pitch only if they accept external references",,,,
